time,gFx,gFy,gFz,TgF
0.003000,-0.2893,0.1806,0.9267,0.992
0.003000,-0.2912,0.1827,0.9160,0.983
0.012000,-0.3040,0.1738,0.9072,0.978
0.033000,-0.3049,0.1816,0.8984,0.972
0.034000,-0.2942,0.1709,0.9062,0.973
0.042000,-0.2844,0.1709,0.9169,0.980
0.053000,-0.2922,0.1680,0.9169,0.982
0.061000,-0.2951,0.1797,0.9150,0.983
0.072000,-0.2932,0.1767,0.9092,0.976
0.086000,-0.2883,0.1797,0.9141,0.979
0.091000,-0.2873,0.1729,0.9209,0.985
0.102000,-0.3019,0.1709,0.9150,0.984
0.113000,-0.3156,0.1767,0.9023,0.979
0.122000,-0.3040,0.1797,0.9033,0.975
0.152000,-0.2951,0.1836,0.9062,0.975
0.160000,-0.3010,0.1827,0.9169,0.987
0.161000,-0.2922,0.1806,0.9190,0.986
0.172000,-0.2922,0.1934,0.9169,0.986
0.173000,-0.2883,0.1836,0.9190,0.985
0.190000,-0.2902,0.1680,0.9141,0.979
0.200000,-0.2942,0.1680,0.9120,0.978
0.202000,-0.3040,0.1718,0.9004,0.972
0.219000,-0.3019,0.1758,0.9082,0.979
0.239000,-0.2854,0.1709,0.9160,0.979
0.243000,-0.2854,0.1767,0.9150,0.979
0.252000,-0.2854,0.1748,0.9258,0.989
0.254000,-0.2883,0.1806,0.9160,0.981
0.265000,-0.2942,0.1767,0.9248,0.991
0.282000,-0.2942,0.1797,0.9160,0.983
0.284000,-0.2961,0.1797,0.9120,0.981
0.299000,-0.3108,0.1816,0.9023,0.978
0.315000,-0.3068,0.1787,0.9062,0.979
0.317000,-0.3010,0.1816,0.9120,0.983
0.348000,-0.2912,0.1836,0.9092,0.977
0.353000,-0.2942,0.1778,0.9169,0.984
0.354000,-0.2834,0.1836,0.9199,0.984
0.358000,-0.2795,0.1767,0.9278,0.989
0.363000,-0.2814,0.1778,0.9267,0.988
0.371000,-0.2912,0.1816,0.9209,0.987
0.397000,-0.2902,0.1758,0.9160,0.981
0.398000,-0.3010,0.1806,0.9120,0.982
0.413000,-0.2922,0.1787,0.9092,0.976
0.414000,-0.2912,0.1797,0.9092,0.976
0.430000,-0.2991,0.1787,0.9062,0.976
0.450000,-0.3000,0.1904,0.9062,0.978
0.452000,-0.2854,0.1885,0.9150,0.981
0.452000,-0.2863,0.1895,0.9229,0.988
0.462000,-0.2834,0.1797,0.9209,0.984
0.472000,-0.2795,0.1846,0.9238,0.986
0.495000,-0.2932,0.1797,0.9111,0.979
0.496000,-0.2912,0.1816,0.9120,0.979
0.513000,-0.2893,0.1874,0.9190,0.985
0.514000,-0.2893,0.1827,0.9160,0.982
0.546000,-0.2932,0.1778,0.9209,0.987
0.547000,-0.2951,0.1748,0.9150,0.982
0.565000,-0.2922,0.1797,0.9092,0.976
