time,gFx,gFy,gFz,gFTotal
2020-08-04 17:38:33.6710,0.263,-0.947,-0.19,1.001
2020-08-04 17:38:33.6770,0.246,-0.947,-0.186,0.996
2020-08-04 17:38:33.6820,0.253,-0.955,-0.178,1.004
2020-08-04 17:38:33.7060,0.28,-0.941,-0.191,1.0
2020-08-04 17:38:33.7060,0.28,-0.941,-0.191,1.0
2020-08-04 17:38:33.7120,0.288,-0.936,-0.197,0.999
2020-08-04 17:38:33.7250,0.276,-0.938,-0.2,0.998
2020-08-04 17:38:33.7320,0.267,-0.943,-0.187,0.998
2020-08-04 17:38:33.7420,0.259,-0.948,-0.182,0.999
2020-08-04 17:38:33.7520,0.258,-0.947,-0.185,0.999
2020-08-04 17:38:33.7610,0.265,-0.949,-0.183,1.002
2020-08-04 17:38:33.7720,0.272,-0.946,-0.19,1.002
2020-08-04 17:38:33.7820,0.279,-0.946,-0.192,1.005
2020-08-04 17:38:33.8100,0.283,-0.944,-0.19,1.004
2020-08-04 17:38:33.8100,0.283,-0.944,-0.19,1.004
2020-08-04 17:38:33.8140,0.281,-0.941,-0.19,1.0
2020-08-04 17:38:33.8250,0.279,-0.936,-0.193,0.996
2020-08-04 17:38:33.8310,0.28,-0.935,-0.199,0.996
2020-08-04 17:38:33.8420,0.281,-0.933,-0.202,0.995
2020-08-04 17:38:33.8520,0.282,-0.928,-0.203,0.991
2020-08-04 17:38:33.8610,0.284,-0.931,-0.203,0.994
2020-08-04 17:38:33.8720,0.282,-0.941,-0.199,1.002
2020-08-04 17:38:33.8810,0.279,-0.948,-0.188,1.006
2020-08-04 17:38:33.9170,0.296,-0.935,-0.201,1.001
2020-08-04 17:38:33.9180,0.296,-0.935,-0.201,1.001
2020-08-04 17:38:33.9190,0.296,-0.935,-0.201,1.001
2020-08-04 17:38:33.9240,0.296,-0.935,-0.206,1.002
2020-08-04 17:38:33.9310,0.291,-0.931,-0.205,0.997
2020-08-04 17:38:33.9420,0.286,-0.93,-0.199,0.993
