time,gFx,gFy,gFz,TgF
0.003000,-0.1866,0.1240,0.9814,1.005
0.003000,-0.1808,0.1240,0.9727,0.995
0.008000,-0.1817,0.1298,0.9786,1.002
0.017000,-0.1935,0.1250,0.9619,0.988
0.028000,-0.1935,0.1289,0.9649,0.992
0.036000,-0.1877,0.1210,0.9609,0.986
0.047000,-0.1945,0.1259,0.9541,0.981
0.056000,-0.1915,0.1220,0.9600,0.986
0.069000,-0.1857,0.1269,0.9502,0.975
0.084000,-0.1817,0.1259,0.9532,0.977
0.087000,-0.1808,0.1269,0.9581,0.981
0.097000,-0.1828,0.1240,0.9668,0.990
0.109000,-0.1838,0.1191,0.9570,0.981
0.116000,-0.1886,0.1133,0.9581,0.982
0.127000,-0.1945,0.1122,0.9678,0.993
0.136000,-0.1964,0.1064,0.9551,0.981
0.146000,-0.1866,0.1064,0.9776,1.000
0.174000,-0.1866,0.1073,0.9903,1.013
0.175000,-0.1817,0.1035,0.9766,0.998
0.178000,-0.1789,0.1064,0.9756,0.996
0.187000,-0.1866,0.1073,0.9649,0.988
0.197000,-0.1954,0.1044,0.9619,0.987
0.208000,-0.1906,0.1103,0.9609,0.985
0.217000,-0.1896,0.1093,0.9639,0.988
0.227000,-0.1857,0.1122,0.9532,0.977
0.236000,-0.1877,0.1161,0.9658,0.990
0.246000,-0.1886,0.1142,0.9590,0.983
0.263000,-0.1847,0.1093,0.9639,0.987
0.284000,-0.1789,0.1171,0.9707,0.992
0.285000,-0.1838,0.1201,0.9668,0.990
0.295000,-0.1838,0.1191,0.9668,0.990
0.297000,-0.1828,0.1142,0.9639,0.987
0.307000,-0.1847,0.1122,0.9581,0.981
0.316000,-0.2003,0.1093,0.9609,0.988
0.327000,-0.2111,0.1093,0.9570,0.987
0.339000,-0.2071,0.1171,0.9658,0.995
0.346000,-0.2033,0.1201,0.9600,0.989
0.357000,-0.2062,0.1171,0.9629,0.992
0.366000,-0.1906,0.1171,0.9707,0.995
0.378000,-0.1798,0.1142,0.9658,0.988
0.390000,-0.1769,0.1161,0.9707,0.992
0.396000,-0.1710,0.1142,0.9678,0.987
0.408000,-0.1769,0.1103,0.9698,0.991
0.416000,-0.1710,0.1064,0.9727,0.992
0.426000,-0.1769,0.1054,0.9756,0.996
0.437000,-0.1866,0.0947,0.9532,0.976
0.446000,-0.1866,0.0898,0.9444,0.967
0.457000,-0.1896,0.0976,0.9492,0.973
0.467000,-0.1926,0.1103,0.9590,0.984
0.478000,-0.1896,0.1201,0.9737,0.998
0.488000,-0.1720,0.1240,0.9795,1.000
0.497000,-0.1612,0.1269,0.9805,0.998
0.506000,-0.1759,0.1318,0.9678,0.990
0.518000,-0.2023,0.1220,0.9581,0.987
0.526000,-0.2150,0.1220,0.9560,0.988
0.537000,-0.2169,0.1250,0.9560,0.989
0.546000,-0.1954,0.1152,0.9639,0.990
0.561000,-0.1789,0.1152,0.9727,0.994
0.577000,-0.1700,0.1044,0.9678,0.986
0.579000,-0.1632,0.0937,0.9707,0.987
0.587000,-0.1603,0.1024,0.9688,0.985
0.596000,-0.1730,0.1133,0.9727,0.993
0.607000,-0.1779,0.1084,0.9883,1.008
0.618000,-0.1779,0.1161,0.9863,1.007
0.626000,-0.1817,0.1289,0.9922,1.015
0.637000,-0.1935,0.1161,0.9737,0.999
0.647000,-0.2003,0.1044,0.9551,0.982
0.668000,-0.2092,0.1084,0.9414,0.972
0.678000,-0.2257,0.1064,0.9316,0.967
0.678000,-0.2062,0.1171,0.9336,0.964
0.690000,-0.2071,0.1210,0.9434,0.974
0.703000,-0.2023,0.1279,0.9492,0.979
0.707000,-0.1896,0.1191,0.9512,0.977
0.717000,-0.1915,0.1357,0.9590,0.986
0.726000,-0.1926,0.1298,0.9609,0.988
0.737000,-0.1954,0.1308,0.9639,0.991
0.765000,-0.1984,0.1210,0.9619,0.989
0.775000,-0.1974,0.1152,0.9678,0.994
0.776000,-0.1945,0.1142,0.9609,0.987
0.779000,-0.1926,0.1122,0.9570,0.982
0.787000,-0.1906,0.1133,0.9698,0.994
0.799000,-0.1886,0.1171,0.9737,0.998
0.807000,-0.1769,0.1152,0.9707,0.992
0.817000,-0.1838,0.1152,0.9639,0.987
0.827000,-0.1808,0.1182,0.9590,0.982
0.836000,-0.1896,0.1054,0.9453,0.970
0.853000,-0.2062,0.1084,0.9395,0.969
0.866000,-0.2013,0.1171,0.9395,0.968
0.867000,-0.2043,0.1182,0.9472,0.977
0.877000,-0.1954,0.1152,0.9492,0.976
0.887000,-0.1906,0.1122,0.9639,0.988
0.898000,-0.1857,0.1171,0.9668,0.990
0.906000,-0.1847,0.1182,0.9746,0.998
0.916000,-0.1935,0.1191,0.9727,0.998
0.928000,-0.1866,0.1191,0.9727,0.996
0.936000,-0.1828,0.1171,0.9805,1.003
0.948000,-0.1838,0.1191,0.9737,0.997
0.956000,-0.1838,0.1073,0.9688,0.991
0.967000,-0.1817,0.1122,0.9717,0.994
0.984000,-0.1945,0.1073,0.9649,0.990
0.986000,-0.1896,0.1122,0.9668,0.991
0.998000,-0.1994,0.1201,0.9717,0.999
1.006000,-0.2052,0.1182,0.9756,1.004
1.017000,-0.2033,0.1142,0.9678,0.996
1.029000,-0.1945,0.1182,0.9678,0.994
1.036000,-0.1935,0.1220,0.9649,0.991
1.047000,-0.1906,0.1201,0.9609,0.986
1.056000,-0.1896,0.1161,0.9600,0.985
1.074000,-0.1915,0.1171,0.9560,0.982
1.077000,-0.1877,0.1103,0.9541,0.978
1.090000,-0.1926,0.1112,0.9551,0.980
1.096000,-0.1964,0.1103,0.9463,0.973
1.109000,-0.1926,0.1093,0.9521,0.977
1.116000,-0.1926,0.1044,0.9619,0.987
1.127000,-0.1838,0.1073,0.9570,0.980
1.136000,-0.1935,0.1142,0.9521,0.978
1.147000,-0.1877,0.1103,0.9512,0.975
1.165000,-0.1984,0.1084,0.9609,0.987
1.171000,-0.1906,0.1122,0.9581,0.983
1.184000,-0.1974,0.1171,0.9619,0.989
1.186000,-0.2013,0.1142,0.9560,0.984
1.197000,-0.1964,0.1161,0.9492,0.976
1.210000,-0.1915,0.1133,0.9698,0.994
1.216000,-0.1896,0.1171,0.9698,0.994
1.228000,-0.1857,0.1073,0.9560,0.979
1.236000,-0.1866,0.1044,0.9502,0.974
1.247000,-0.1886,0.1073,0.9581,0.982
1.264000,-0.1877,0.1152,0.9609,0.985
1.275000,-0.1915,0.1064,0.9629,0.987
1.277000,-0.1994,0.1073,0.9639,0.990
1.287000,-0.1954,0.1133,0.9629,0.989
1.297000,-0.2003,0.1171,0.9668,0.994
1.308000,-0.2071,0.1191,0.9707,1.000
1.316000,-0.1974,0.1152,0.9756,1.002
1.326000,-0.2033,0.1210,0.9688,0.997
1.339000,-0.1964,0.1182,0.9717,0.998
1.346000,-0.1984,0.1201,0.9658,0.993
1.357000,-0.1926,0.1182,0.9658,0.991
1.366000,-0.1974,0.1133,0.9786,1.004
1.377000,-0.1994,0.1103,0.9698,0.996
1.395000,-0.1886,0.1122,0.9678,0.992
