time,gFx,gFy,gFz,gFTotal
2020-08-03 21:38:31.8730,-0.011,-0.995,-0.099,1.0
2020-08-03 21:38:31.8790,-0.013,-0.987,-0.104,0.993
2020-08-03 21:38:31.8890,-0.006,-0.981,-0.114,0.988
2020-08-03 21:38:31.8990,0.002,-0.983,-0.127,0.991
2020-08-03 21:38:31.9090,-0.002,-0.991,-0.117,0.998
2020-08-03 21:38:31.9190,-0.015,-0.988,-0.112,0.994
2020-08-03 21:38:31.9560,0.008,-0.992,-0.117,0.999
2020-08-03 21:38:31.9570,0.008,-0.992,-0.117,0.999
2020-08-03 21:38:31.9570,0.008,-0.992,-0.117,0.999
2020-08-03 21:38:31.9590,0.026,-0.99,-0.124,0.998
2020-08-03 21:38:31.9690,0.028,-0.994,-0.118,1.001
2020-08-03 21:38:31.9790,0.015,-1.001,-0.11,1.007
2020-08-03 21:38:31.9890,-0.0,-1.003,-0.106,1.009
2020-08-03 21:38:31.9990,-0.005,-0.991,-0.108,0.997
2020-08-03 21:38:32.0090,0.007,-0.976,-0.11,0.982
2020-08-03 21:38:32.0190,0.035,-0.973,-0.117,0.981
2020-08-03 21:38:32.0610,-0.001,-0.995,-0.113,1.001
2020-08-03 21:38:32.0610,-0.001,-0.995,-0.113,1.001
2020-08-03 21:38:32.0610,-0.001,-0.995,-0.113,1.001
2020-08-03 21:38:32.0610,-0.001,-0.995,-0.113,1.001
2020-08-03 21:38:32.0680,-0.011,-0.989,-0.109,0.995
2020-08-03 21:38:32.0790,-0.006,-0.98,-0.121,0.987
2020-08-03 21:38:32.0880,0.009,-0.978,-0.126,0.986
2020-08-03 21:38:32.0980,0.015,-0.986,-0.123,0.994
2020-08-03 21:38:32.1090,0.006,-0.998,-0.116,1.005
2020-08-03 21:38:32.1180,-0.001,-0.999,-0.117,1.006
2020-08-03 21:38:32.1580,0.013,-0.995,-0.097,1.0
2020-08-03 21:38:32.1580,0.013,-0.995,-0.097,1.0
2020-08-03 21:38:32.1580,0.024,-1.002,-0.107,1.008
2020-08-03 21:38:32.1600,0.024,-1.002,-0.107,1.008
2020-08-03 21:38:32.1680,0.018,-1.002,-0.102,1.007
2020-08-03 21:38:32.1780,0.007,-1.002,-0.096,1.007
2020-08-03 21:38:32.1880,0.004,-0.992,-0.1,0.997
2020-08-03 21:38:32.1980,0.015,-0.982,-0.113,0.989
2020-08-03 21:38:32.2080,0.039,-0.98,-0.122,0.988
2020-08-03 21:38:32.2180,0.057,-0.983,-0.132,0.993
2020-08-03 21:38:32.2590,0.044,-0.984,-0.168,0.999
2020-08-03 21:38:32.2600,0.044,-0.984,-0.168,0.999
2020-08-03 21:38:32.2600,0.044,-0.984,-0.168,0.999
2020-08-03 21:38:32.2600,0.044,-0.984,-0.168,0.999
2020-08-03 21:38:32.2680,0.038,-0.979,-0.165,0.994
2020-08-03 21:38:32.2780,0.041,-0.976,-0.163,0.99
2020-08-03 21:38:32.2880,0.049,-0.974,-0.162,0.989
2020-08-03 21:38:32.2980,0.058,-0.981,-0.161,0.996
2020-08-03 21:38:32.3080,0.07,-0.986,-0.164,1.002
2020-08-03 21:38:32.3180,0.079,-0.981,-0.169,0.999
2020-08-03 21:38:32.3620,0.038,-0.989,-0.144,1.0
2020-08-03 21:38:32.3630,0.038,-0.989,-0.144,1.0
2020-08-03 21:38:32.3630,0.038,-0.989,-0.144,1.0
2020-08-03 21:38:32.3630,0.038,-0.989,-0.144,1.0
2020-08-03 21:38:32.3680,0.052,-0.986,-0.138,0.997
2020-08-03 21:38:32.3780,0.084,-0.988,-0.135,1.001
2020-08-03 21:38:32.3880,0.121,-0.997,-0.115,1.011
2020-08-03 21:38:32.3980,0.156,-1.007,-0.089,1.023
2020-08-03 21:38:32.4080,0.175,-1.004,-0.095,1.024
2020-08-03 21:38:32.4180,0.176,-0.976,-0.121,0.999
2020-08-03 21:38:32.4610,0.021,-1.04,-0.153,1.051
2020-08-03 21:38:32.4610,0.021,-1.04,-0.153,1.051
2020-08-03 21:38:32.4620,0.021,-1.04,-0.153,1.051
2020-08-03 21:38:32.4620,0.021,-1.04,-0.153,1.051
2020-08-03 21:38:32.4670,0.048,-0.999,-0.164,1.014
2020-08-03 21:38:32.4770,0.096,-0.954,-0.156,0.971
2020-08-03 21:38:32.4870,0.127,-0.955,-0.179,0.98
2020-08-03 21:38:32.4980,0.123,-0.983,-0.142,1.001
2020-08-03 21:38:32.5070,0.089,-1.017,-0.076,1.024
2020-08-03 21:38:32.5170,0.046,-1.045,-0.033,1.047
2020-08-03 21:38:32.5600,0.008,-1.006,0.004,1.006
2020-08-03 21:38:32.5610,0.008,-1.006,0.004,1.006
2020-08-03 21:38:32.5610,0.008,-1.006,0.004,1.006
2020-08-03 21:38:32.5610,0.008,-1.006,0.004,1.006
2020-08-03 21:38:32.5670,0.021,-1.064,-0.025,1.065
2020-08-03 21:38:32.5770,0.037,-1.115,-0.066,1.118
2020-08-03 21:38:32.5870,0.055,-1.196,-0.113,1.203
2020-08-03 21:38:32.5970,0.034,-1.274,-0.175,1.286
2020-08-03 21:38:32.6070,0.013,-1.254,-0.145,1.262
2020-08-03 21:38:32.6170,0.097,-1.149,-0.053,1.154
2020-08-03 21:38:32.6590,0.51,-1.362,0.379,1.503
2020-08-03 21:38:32.6600,0.51,-1.362,0.379,1.503
2020-08-03 21:38:32.6600,0.51,-1.362,0.379,1.503
2020-08-03 21:38:32.6600,0.51,-1.362,0.379,1.503
2020-08-03 21:38:32.6670,0.195,-1.448,0.587,1.575
2020-08-03 21:38:32.6770,-0.007,-1.427,0.329,1.464
