time,gFx,gFy,gFz,gFTotal
2020-07-28 1:59:54.6040,-0.09,-0.981,-0.11800000000000001,0.992
2020-07-28 1:59:54.6130,-0.09,-0.981,-0.121,0.993
2020-07-28 1:59:54.6240,-0.08800000000000001,-0.988,-0.102,0.997
2020-07-28 1:59:54.6330,-0.071,-0.991,-0.096,0.998
2020-07-28 1:59:54.6720,-0.085,-0.993,-0.102,1.002
2020-07-28 1:59:54.6720,-0.085,-0.993,-0.102,1.002
2020-07-28 1:59:54.6730,-0.085,-0.993,-0.102,1.002
2020-07-28 1:59:54.6740,-0.091,-0.993,-0.106,1.003
2020-07-28 1:59:54.6830,-0.092,-0.991,-0.10400000000000001,1.001
2020-07-28 1:59:54.6930,-0.085,-0.986,-0.10099999999999999,0.995
2020-07-28 1:59:54.7040,-0.078,-0.987,-0.095,0.995
2020-07-28 1:59:54.7130,-0.073,-0.992,-0.09300000000000001,0.9990000000000001
2020-07-28 1:59:54.7230,-0.07,-0.991,-0.091,0.998
2020-07-28 1:59:54.7340,-0.071,-0.982,-0.095,0.9890000000000001
2020-07-28 1:59:54.7740,-0.078,-0.995,-0.10099999999999999,1.003
2020-07-28 1:59:54.7750,-0.078,-0.995,-0.10099999999999999,1.003
2020-07-28 1:59:54.7750,-0.078,-0.995,-0.10099999999999999,1.003
2020-07-28 1:59:54.7760,-0.078,-0.995,-0.10099999999999999,1.003
2020-07-28 1:59:54.7830,-0.079,-0.986,-0.10800000000000001,0.995
2020-07-28 1:59:54.7930,-0.085,-0.981,-0.111,0.991
2020-07-28 1:59:54.8030,-0.08900000000000001,-0.988,-0.10800000000000001,0.998
2020-07-28 1:59:54.8130,-0.08,-0.995,-0.10300000000000001,1.004
2020-07-28 1:59:54.8230,-0.077,-0.987,-0.10400000000000001,0.995
2020-07-28 1:59:54.8330,-0.077,-0.977,-0.105,0.986
2020-07-28 1:59:54.8720,-0.07400000000000001,-0.986,-0.10099999999999999,0.9940000000000001
2020-07-28 1:59:54.8720,-0.064,-0.993,-0.10300000000000001,1.0
2020-07-28 1:59:54.8730,-0.064,-0.993,-0.10300000000000001,1.0
2020-07-28 1:59:54.8750,-0.064,-0.993,-0.10300000000000001,1.0
2020-07-28 1:59:54.8830,-0.066,-1.0,-0.106,1.008
2020-07-28 1:59:54.8920,-0.076,-1.013,-0.113,1.022
2020-07-28 1:59:54.9030,-0.075,-1.0090000000000001,-0.106,1.0170000000000001
2020-07-28 1:59:54.9130,-0.07,-0.992,-0.121,1.002
2020-07-28 1:59:54.9230,-0.07200000000000001,-0.985,-0.126,0.996
2020-07-28 1:59:54.9330,-0.07400000000000001,-0.987,-0.128,0.998
2020-07-28 1:59:54.9730,-0.057,-1.003,-0.099,1.0090000000000001
2020-07-28 1:59:54.9730,-0.057,-1.003,-0.099,1.0090000000000001
2020-07-28 1:59:54.9740,-0.057,-1.003,-0.099,1.0090000000000001
2020-07-28 1:59:54.9750,-0.057,-1.003,-0.099,1.0090000000000001
2020-07-28 1:59:54.9820,-0.06,-0.993,-0.091,0.9990000000000001
2020-07-28 1:59:54.9920,-0.08800000000000001,-0.988,-0.079,0.995
2020-07-28 1:59:55.0020,-0.1,-0.995,-0.10800000000000001,1.006
2020-07-28 1:59:55.0120,-0.035,-1.011,-0.262,1.045
2020-07-28 1:59:55.0220,-0.001,-1.01,-0.20600000000000002,1.031
2020-07-28 1:59:55.0330,-0.018000000000000002,-1.002,-0.18100000000000002,1.018
2020-07-28 1:59:55.0720,-0.092,-1.051,0.032,1.056
2020-07-28 1:59:55.0720,-0.092,-1.051,0.032,1.056
2020-07-28 1:59:55.0730,-0.092,-1.051,0.032,1.056
2020-07-28 1:59:55.0750,-0.092,-1.051,0.032,1.056
2020-07-28 1:59:55.0820,-0.051,-1.071,0.017,1.072
2020-07-28 1:59:55.0920,-0.06,-1.08,-0.055999999999999994,1.083
2020-07-28 1:59:55.1020,-0.125,-1.001,-0.122,1.016
2020-07-28 1:59:55.1120,-0.14400000000000002,-0.9520000000000001,-0.134,0.972
2020-07-28 1:59:55.1230,-0.128,-0.95,-0.091,0.963
2020-07-28 1:59:55.1320,-0.085,-0.9940000000000001,-0.046,0.9990000000000001
2020-07-28 1:59:55.1740,-0.17800000000000002,-0.893,-0.066,0.9129999999999999
2020-07-28 1:59:55.1740,-0.17800000000000002,-0.893,-0.066,0.9129999999999999
2020-07-28 1:59:55.1750,-0.17800000000000002,-0.893,-0.066,0.9129999999999999
2020-07-28 1:59:55.1750,-0.17800000000000002,-0.893,-0.066,0.9129999999999999
2020-07-28 1:59:55.1820,-0.111,-0.955,-0.10400000000000001,0.9670000000000001
2020-07-28 1:59:55.1920,-0.09699999999999999,-0.963,-0.11199999999999999,0.9740000000000001
2020-07-28 1:59:55.2020,0.037000000000000005,-1.028,0.105,1.034
2020-07-28 1:59:55.2120,-0.098,-1.004,-0.079,1.012
2020-07-28 1:59:55.2220,-0.185,-1.004,-0.293,1.062
2020-07-28 1:59:55.2320,-0.055,-1.003,-0.18600000000000003,1.022
2020-07-28 1:59:55.2740,0.008,-1.0290000000000001,-0.19,1.046
2020-07-28 1:59:55.2740,0.008,-1.0290000000000001,-0.19,1.046
2020-07-28 1:59:55.2750,0.008,-1.0290000000000001,-0.19,1.046
2020-07-28 1:59:55.2750,0.008,-1.0290000000000001,-0.19,1.046
2020-07-28 1:59:55.2810,0.094,-0.7559999999999999,-0.369,0.846
2020-07-28 1:59:55.2910,-0.127,-0.305,0.013999999999999999,0.331
2020-07-28 1:59:55.3010,-0.184,0.275,0.315,0.457
2020-07-28 1:59:55.3110,-0.324,-0.5710000000000001,-0.369,0.753
2020-07-28 1:59:55.3220,-0.2,-1.484,-0.527,1.587
2020-07-28 1:59:55.3320,0.098,-2.241,-0.12300000000000001,2.247
2020-07-28 1:59:55.3710,-0.203,-0.526,-0.32799999999999996,0.652
2020-07-28 1:59:55.3720,-0.203,-0.526,-0.32799999999999996,0.652
2020-07-28 1:59:55.3720,-0.203,-0.526,-0.32799999999999996,0.652
2020-07-28 1:59:55.3740,-0.203,-0.526,-0.32799999999999996,0.652
2020-07-28 1:59:55.3810,-0.1,-0.43200000000000005,-0.134,0.46299999999999997
2020-07-28 1:59:55.3910,0.002,-0.609,-0.052000000000000005,0.611
2020-07-28 1:59:55.4010,0.028999999999999998,-0.963,-0.153,0.976
2020-07-28 1:59:55.4110,0.002,-1.248,-0.174,1.26
2020-07-28 1:59:55.4220,-0.025,-1.338,-0.129,1.344
2020-07-28 1:59:55.4320,-0.039,-1.225,-0.151,1.235
2020-07-28 1:59:55.4730,-0.031,-1.041,-0.12,1.048
2020-07-28 1:59:55.4740,-0.031,-1.041,-0.12,1.048
2020-07-28 1:59:55.4740,-0.031,-1.041,-0.12,1.048
2020-07-28 1:59:55.4750,-0.031,-1.041,-0.12,1.048
2020-07-28 1:59:55.4810,-0.036000000000000004,-1.138,-0.12,1.145
2020-07-28 1:59:55.4910,-0.032,-1.19,-0.125,1.197
2020-07-28 1:59:55.5010,-0.033,-1.2009999999999998,-0.138,1.209
2020-07-28 1:59:55.5110,-0.059000000000000004,-1.169,-0.16699999999999998,1.182
2020-07-28 1:59:55.5210,-0.095,-1.099,-0.166,1.1159999999999999
2020-07-28 1:59:55.5320,-0.107,-1.024,-0.166,1.043
2020-07-28 1:59:55.5720,-0.026000000000000002,-1.09,-0.177,1.105
2020-07-28 1:59:55.5720,-0.026000000000000002,-1.09,-0.177,1.105
2020-07-28 1:59:55.5730,-0.026000000000000002,-1.09,-0.177,1.105
2020-07-28 1:59:55.5730,-0.026000000000000002,-1.09,-0.177,1.105
2020-07-28 1:59:55.5810,-0.031,-1.1,-0.23199999999999998,1.125
2020-07-28 1:59:55.5910,-0.059000000000000004,-1.093,-0.265,1.126
2020-07-28 1:59:55.6000,-0.11900000000000001,-1.074,-0.294,1.12
2020-07-28 1:59:55.6110,-0.193,-1.042,-0.387,1.128
2020-07-28 1:59:55.6210,-0.249,-0.9840000000000001,-0.478,1.122
2020-07-28 1:59:55.6310,-0.271,-0.932,-0.509,1.0959999999999999
2020-07-28 1:59:55.6710,-0.204,-0.9,-0.49,1.045
2020-07-28 1:59:55.6720,-0.204,-0.9,-0.49,1.045
2020-07-28 1:59:55.6720,-0.204,-0.9,-0.49,1.045
2020-07-28 1:59:55.6730,-0.204,-0.9,-0.49,1.045
2020-07-28 1:59:55.6810,-0.255,-0.9,-0.426,1.028
2020-07-28 1:59:55.6910,-0.322,-0.917,-0.37200000000000005,1.041
2020-07-28 1:59:55.7000,-0.376,-0.925,-0.32,1.0490000000000002
2020-07-28 1:59:55.7100,-0.38,-0.898,-0.251,1.0070000000000001
2020-07-28 1:59:55.7210,-0.33,-0.852,-0.187,0.9329999999999999
2020-07-28 1:59:55.7310,-0.249,-0.8140000000000001,-0.151,0.865
2020-07-28 1:59:55.7710,0.057,-0.902,-0.023,0.904
2020-07-28 1:59:55.7710,0.057,-0.902,-0.023,0.904
2020-07-28 1:59:55.7720,0.057,-0.902,-0.023,0.904
2020-07-28 1:59:55.7720,0.057,-0.902,-0.023,0.904
2020-07-28 1:59:55.7800,0.12,-0.903,-0.015,0.9109999999999999
2020-07-28 1:59:55.7900,0.159,-0.877,0.028999999999999998,0.892
2020-07-28 1:59:55.8000,0.158,-0.846,0.068,0.863
