time,gFx,gFy,gFz,TgF
0.006000,0.1543,0.3067,0.8661,0.897
0.007000,0.1259,0.2920,0.8798,0.904
0.007000,0.1211,0.2940,0.8808,0.905
0.008000,0.1162,0.3038,0.8730,0.900
0.009000,0.1308,0.3077,0.8622,0.892
0.016000,0.1455,0.2969,0.8633,0.891
0.045000,0.1602,0.3018,0.8564,0.887
0.046000,0.1641,0.3048,0.8652,0.897
0.046000,0.1534,0.3008,0.8652,0.894
0.059000,0.1406,0.3008,0.8652,0.893
0.068000,0.1357,0.3038,0.8682,0.897
0.084000,0.1338,0.3018,0.8798,0.907
0.088000,0.1426,0.3057,0.8701,0.900
0.097000,0.1534,0.3038,0.8671,0.897
0.106000,0.1592,0.2989,0.8661,0.895
0.116000,0.1513,0.2980,0.8564,0.885
0.129000,0.1416,0.2980,0.8622,0.890
0.138000,0.1396,0.3029,0.8633,0.892
0.146000,0.1377,0.3008,0.8720,0.900
0.158000,0.1445,0.3038,0.8661,0.895
0.166000,0.1426,0.3029,0.8750,0.903
0.180000,0.1494,0.2969,0.8661,0.894
0.189000,0.1494,0.2989,0.8740,0.902
0.200000,0.1534,0.2950,0.8612,0.889
0.212000,0.1367,0.3029,0.8661,0.895
0.216000,0.1455,0.3038,0.8584,0.888
0.228000,0.1445,0.3048,0.8691,0.899
0.236000,0.1465,0.3008,0.8720,0.900
0.259000,0.1543,0.2999,0.8661,0.895
0.260000,0.1543,0.2999,0.8661,0.895
0.266000,0.1436,0.2980,0.8769,0.904
0.277000,0.1377,0.2989,0.8759,0.903
0.286000,0.1406,0.2920,0.8682,0.894
0.296000,0.1465,0.2960,0.8789,0.906
0.310000,0.1513,0.3008,0.8661,0.895
0.316000,0.1494,0.2950,0.8701,0.897
0.326000,0.1504,0.2989,0.8710,0.899
0.338000,0.1504,0.3038,0.8740,0.903
0.358000,0.1406,0.3038,0.8682,0.897
0.359000,0.1474,0.3018,0.8691,0.898
0.368000,0.1494,0.3008,0.8642,0.893
0.376000,0.1445,0.3008,0.8730,0.901
0.396000,0.1474,0.3029,0.8622,0.892
0.398000,0.1523,0.2980,0.8642,0.893
0.408000,0.1426,0.2980,0.8612,0.889
0.417000,0.1406,0.3038,0.8544,0.884
0.426000,0.1377,0.3018,0.8612,0.890
0.442000,0.1494,0.3038,0.8710,0.901
0.449000,0.1494,0.3067,0.8682,0.899
0.456000,0.1543,0.3029,0.8710,0.901
0.466000,0.1523,0.3067,0.8671,0.898
0.476000,0.1553,0.3038,0.8720,0.902
0.488000,0.1474,0.3038,0.8633,0.893
0.499000,0.1406,0.2950,0.8671,0.894
0.510000,0.1377,0.2960,0.8710,0.897
0.518000,0.1436,0.3018,0.8633,0.892
0.527000,0.1494,0.2940,0.8682,0.895
0.539000,0.1534,0.2969,0.8769,0.905
0.546000,0.1455,0.2940,0.8730,0.899
0.560000,0.1406,0.3029,0.8710,0.900
0.571000,0.1396,0.3048,0.8730,0.902
0.576000,0.1445,0.3038,0.8633,0.893
0.586000,0.1406,0.3038,0.8740,0.903
0.596000,0.1387,0.3077,0.8671,0.897
0.608000,0.1455,0.3067,0.8554,0.886
0.621000,0.1465,0.3077,0.8593,0.890
0.636000,0.1534,0.3067,0.8603,0.892
0.638000,0.1523,0.3057,0.8603,0.891
0.646000,0.1523,0.3048,0.8691,0.899
0.668000,0.1553,0.3097,0.8682,0.900
0.669000,0.1513,0.2969,0.8730,0.901
0.676000,0.1396,0.2980,0.8661,0.893
0.701000,0.1436,0.2999,0.8720,0.900
0.703000,0.1455,0.3029,0.8652,0.894
0.706000,0.1543,0.3038,0.8691,0.899
0.736000,0.1494,0.2999,0.8661,0.895
0.738000,0.1534,0.3077,0.8691,0.900
0.738000,0.1513,0.2999,0.8759,0.904
0.767000,0.1474,0.3018,0.8759,0.904
0.769000,0.1416,0.3038,0.8701,0.899
0.769000,0.1367,0.2989,0.8769,0.904
0.778000,0.1348,0.3057,0.8701,0.899
0.787000,0.1387,0.3008,0.8720,0.900
0.803000,0.1455,0.2999,0.8730,0.901
0.811000,0.1523,0.3018,0.8798,0.909
0.817000,0.1562,0.2999,0.8633,0.893
0.826000,0.1465,0.2980,0.8671,0.895
0.838000,0.1445,0.3038,0.8652,0.895
0.850000,0.1406,0.2999,0.8701,0.898
0.856000,0.1426,0.3077,0.8701,0.900
0.868000,0.1426,0.3067,0.8759,0.905
0.876000,0.1474,0.3116,0.8691,0.901
0.889000,0.1504,0.3067,0.8710,0.901
0.898000,0.1543,0.3087,0.8652,0.897
0.909000,0.1543,0.2999,0.8661,0.895
0.917000,0.1504,0.3018,0.8642,0.894
0.926000,0.1455,0.2969,0.8642,0.892
0.938000,0.1406,0.3048,0.8584,0.888
0.947000,0.1485,0.3057,0.8642,0.894
0.956000,0.1465,0.3038,0.8691,0.898
0.966000,0.1396,0.2989,0.8759,0.903
0.989000,0.1406,0.3038,0.8740,0.903
0.997000,0.1465,0.3067,0.8750,0.905
0.997000,0.1523,0.3087,0.8633,0.895
1.006000,0.1602,0.3048,0.8730,0.904
1.017000,0.1641,0.3048,0.8701,0.901
1.028000,0.1602,0.3057,0.8710,0.902
1.038000,0.1523,0.3057,0.8838,0.913
1.046000,0.1455,0.3067,0.8740,0.904
1.056000,0.1387,0.3018,0.8857,0.913
1.066000,0.1231,0.3018,0.8789,0.906
1.083000,0.1201,0.3077,0.8828,0.911
1.086000,0.1348,0.3126,0.8808,0.911
1.099000,0.1758,0.3077,0.8730,0.906
1.106000,0.1807,0.3057,0.8730,0.906
1.116000,0.1953,0.3018,0.8759,0.910
1.127000,0.1846,0.3067,0.8671,0.901
1.136000,0.1709,0.3146,0.8622,0.898
1.146000,0.1513,0.3126,0.8633,0.896
1.156000,0.1534,0.3136,0.8642,0.897
1.166000,0.1543,0.3126,0.8789,0.911
1.181000,0.1592,0.3165,0.8661,0.901
1.186000,0.1739,0.3214,0.8701,0.907
1.197000,0.1729,0.3243,0.8612,0.900
1.206000,0.1778,0.3136,0.8544,0.891
1.216000,0.1729,0.3106,0.8496,0.885
1.226000,0.1748,0.3174,0.8544,0.891
1.236000,0.1709,0.3234,0.8486,0.887
1.246000,0.1670,0.3283,0.8515,0.891
1.256000,0.1650,0.3292,0.8633,0.902
1.268000,0.1680,0.3223,0.8720,0.909
1.279000,0.1767,0.3214,0.8710,0.909
1.286000,0.1856,0.3234,0.8691,0.908
1.298000,0.1827,0.3272,0.8603,0.901
1.306000,0.1885,0.3253,0.8661,0.907
1.318000,0.1895,0.3283,0.8535,0.896
1.326000,0.1914,0.3321,0.8496,0.894
1.336000,0.1963,0.3331,0.8622,0.907
1.346000,0.2042,0.3321,0.8505,0.896
1.358000,0.2002,0.3292,0.8730,0.916
1.366000,0.1993,0.3253,0.8603,0.903
1.379000,0.1885,0.3243,0.8622,0.903
1.395000,0.1797,0.3234,0.8515,0.891
1.398000,0.1670,0.3194,0.8593,0.896
1.413000,0.1767,0.3351,0.8554,0.898
1.419000,0.1865,0.3429,0.8652,0.911
1.429000,0.1963,0.3419,0.8818,0.928
1.436000,0.2130,0.3400,0.8936,0.940
1.446000,0.2158,0.3409,0.8887,0.937
1.457000,0.2315,0.3360,0.8936,0.942
1.466000,0.2266,0.3292,0.8964,0.942
1.479000,0.2296,0.3331,0.8857,0.934
1.495000,0.2119,0.3331,0.8671,0.913
1.497000,0.2021,0.3234,0.8505,0.893
1.506000,0.1885,0.3243,0.8466,0.888
1.516000,0.1827,0.3272,0.8554,0.896
1.526000,0.1836,0.3360,0.8466,0.891
1.539000,0.2002,0.3488,0.8584,0.909
1.546000,0.2179,0.3556,0.8682,0.923
1.558000,0.2354,0.3595,0.8818,0.940
1.566000,0.2482,0.3693,0.8779,0.942
1.576000,0.2305,0.3800,0.8671,0.932
1.590000,0.2207,0.3702,0.8476,0.909
1.596000,0.2139,0.3565,0.8417,0.898
1.606000,0.2100,0.3448,0.8349,0.887
1.621000,0.2070,0.3546,0.8212,0.877
1.626000,0.2021,0.3448,0.8330,0.884
1.636000,0.2021,0.3516,0.8212,0.875
1.646000,0.2002,0.3634,0.8134,0.872
1.656000,0.1944,0.3654,0.8104,0.869
1.668000,0.1924,0.3683,0.8242,0.883
1.676000,0.1885,0.3693,0.8330,0.891
1.687000,0.1983,0.3634,0.8535,0.909
1.696000,0.2217,0.3654,0.8652,0.924
1.712000,0.2354,0.3644,0.8682,0.929
1.719000,0.2501,0.3634,0.8671,0.930
1.729000,0.2569,0.3702,0.8584,0.926
1.738000,0.2618,0.3576,0.8496,0.914
1.746000,0.2520,0.3458,0.8466,0.906
