time,gFx,gFy,gFz,gFTotal
2020-07-28 2:57:42.6670,0.164,0.988,-0.102,1.007
2020-07-28 2:57:42.6770,0.161,0.973,-0.108,0.992
2020-07-28 2:57:42.7060,0.149,0.989,-0.108,1.006
2020-07-28 2:57:42.7080,0.149,0.989,-0.108,1.006
2020-07-28 2:57:42.7120,0.149,0.989,-0.108,1.006
2020-07-28 2:57:42.7170,0.156,0.984,-0.111,1.002
2020-07-28 2:57:42.7270,0.159,0.984,-0.111,1.003
2020-07-28 2:57:42.7360,0.16,0.987,-0.11,1.006
2020-07-28 2:57:42.7470,0.162,0.989,-0.109,1.008
2020-07-28 2:57:42.7590,0.161,0.985,-0.108,1.004
2020-07-28 2:57:42.7670,0.161,0.981,-0.107,1.0
2020-07-28 2:57:42.7770,0.159,0.986,-0.103,1.004
2020-07-28 2:57:42.8070,0.155,0.983,-0.102,1.0
2020-07-28 2:57:42.8100,0.155,0.983,-0.102,1.0
2020-07-28 2:57:42.8120,0.155,0.983,-0.102,1.0
2020-07-28 2:57:42.8160,0.157,0.979,-0.103,0.997
2020-07-28 2:57:42.8270,0.156,0.984,-0.109,1.002
2020-07-28 2:57:42.8370,0.151,0.987,-0.117,1.005
2020-07-28 2:57:42.8470,0.152,0.981,-0.123,1.0
2020-07-28 2:57:42.8580,0.155,0.978,-0.117,0.997
2020-07-28 2:57:42.8660,0.157,0.981,-0.106,0.999
2020-07-28 2:57:42.8760,0.161,0.983,-0.105,1.002
2020-07-28 2:57:42.9070,0.155,0.976,-0.107,0.994
2020-07-28 2:57:42.9090,0.155,0.976,-0.107,0.994
2020-07-28 2:57:42.9110,0.155,0.976,-0.107,0.994
2020-07-28 2:57:42.9160,0.152,0.969,-0.105,0.986
2020-07-28 2:57:42.9260,0.145,0.985,-0.113,1.002
2020-07-28 2:57:42.9360,0.149,0.993,-0.121,1.011
2020-07-28 2:57:42.9460,0.153,0.988,-0.117,1.007
2020-07-28 2:57:42.9580,0.156,0.982,-0.114,1.001
2020-07-28 2:57:42.9660,0.159,0.983,-0.113,1.002
2020-07-28 2:57:42.9760,0.157,0.986,-0.112,1.005
2020-07-28 2:57:43.0090,0.151,0.983,-0.089,0.999
2020-07-28 2:57:43.0110,0.151,0.983,-0.089,0.999
2020-07-28 2:57:43.0130,0.151,0.983,-0.089,0.999
2020-07-28 2:57:43.0160,0.151,0.982,-0.079,0.997
2020-07-28 2:57:43.0260,0.153,0.983,-0.077,0.998
2020-07-28 2:57:43.0360,0.156,0.978,-0.076,0.993
2020-07-28 2:57:43.0460,0.169,0.983,-0.074,1.0
2020-07-28 2:57:43.0580,0.178,0.999,-0.073,1.017
2020-07-28 2:57:43.0660,0.167,0.999,-0.063,1.015
2020-07-28 2:57:43.0760,0.156,0.986,-0.048,0.999
2020-07-28 2:57:43.1050,0.147,1.0,-0.038,1.011
2020-07-28 2:57:43.1070,0.147,1.0,-0.038,1.011
2020-07-28 2:57:43.1100,0.147,1.0,-0.038,1.011
2020-07-28 2:57:43.1160,0.149,0.998,-0.03,1.01
2020-07-28 2:57:43.1260,0.153,0.991,-0.019,1.003
2020-07-28 2:57:43.1360,0.158,0.986,-0.01,0.999
2020-07-28 2:57:43.1460,0.162,0.986,-0.005,0.999
2020-07-28 2:57:43.1590,0.161,0.992,-0.001,1.005
2020-07-28 2:57:43.1670,0.162,0.996,-0.001,1.009
2020-07-28 2:57:43.1760,0.159,0.998,-0.002,1.011
2020-07-28 2:57:43.2130,0.137,0.991,0.024,1.001
2020-07-28 2:57:43.2150,0.136,0.988,0.032,0.998
2020-07-28 2:57:43.2170,0.136,0.988,0.032,0.998
2020-07-28 2:57:43.2210,0.136,0.988,0.032,0.998
2020-07-28 2:57:43.2260,0.135,0.992,0.035,1.002
2020-07-28 2:57:43.2350,0.131,0.999,0.033,1.008
2020-07-28 2:57:43.2450,0.132,1.0,0.031,1.009
2020-07-28 2:57:43.2570,0.129,0.999,0.033,1.008
2020-07-28 2:57:43.2660,0.129,0.995,0.036,1.004
2020-07-28 2:57:43.2750,0.128,0.994,0.038,1.003
