time,gFx,gFy,gFz,gFTotal
2020-07-29 9:7:29.6430,0.288,0.959,-0.131,1.01
2020-07-29 9:7:29.6520,0.281,0.957,-0.137,1.007
2020-07-29 9:7:29.6620,0.296,0.948,-0.145,1.004
2020-07-29 9:7:29.6710,0.295,0.949,-0.149,1.005
2020-07-29 9:7:29.7070,0.292,0.952,-0.145,1.006
2020-07-29 9:7:29.7070,0.292,0.952,-0.145,1.006
2020-07-29 9:7:29.7070,0.292,0.952,-0.145,1.006
2020-07-29 9:7:29.7110,0.289,0.951,-0.148,1.005
2020-07-29 9:7:29.7210,0.287,0.949,-0.146,1.002
2020-07-29 9:7:29.7310,0.288,0.95,-0.147,1.004
2020-07-29 9:7:29.7410,0.292,0.95,-0.148,1.005
2020-07-29 9:7:29.7510,0.295,0.946,-0.152,1.003
2020-07-29 9:7:29.7610,0.287,0.946,-0.155,1.001
2020-07-29 9:7:29.7710,0.287,0.948,-0.15,1.002
2020-07-29 9:7:29.8100,0.293,0.951,-0.146,1.006
2020-07-29 9:7:29.8100,0.293,0.951,-0.146,1.006
2020-07-29 9:7:29.8100,0.293,0.951,-0.146,1.006
2020-07-29 9:7:29.8120,0.293,0.948,-0.149,1.003
2020-07-29 9:7:29.8210,0.292,0.939,-0.155,0.995
2020-07-29 9:7:29.8310,0.294,0.933,-0.158,0.991
2020-07-29 9:7:29.8410,0.289,0.929,-0.167,0.987
2020-07-29 9:7:29.8510,0.291,0.933,-0.168,0.992
2020-07-29 9:7:29.8610,0.294,0.941,-0.156,0.998
2020-07-29 9:7:29.8710,0.287,0.947,-0.15,1.001
2020-07-29 9:7:29.9100,0.291,0.946,-0.152,1.001
2020-07-29 9:7:29.9100,0.291,0.946,-0.152,1.001
2020-07-29 9:7:29.9100,0.291,0.946,-0.152,1.001
2020-07-29 9:7:29.9110,0.287,0.952,-0.163,1.008
2020-07-29 9:7:29.9210,0.288,0.95,-0.173,1.008
2020-07-29 9:7:29.9310,0.301,0.944,-0.163,1.004
2020-07-29 9:7:29.9410,0.293,0.944,-0.155,1.001
2020-07-29 9:7:29.9510,0.287,0.947,-0.162,1.003
2020-07-29 9:7:29.9610,0.284,0.939,-0.158,0.994
2020-07-29 9:7:29.9710,0.293,0.953,-0.155,1.009
2020-07-29 9:7:30.0140,0.303,0.962,-0.143,1.019
2020-07-29 9:7:30.0140,0.303,0.962,-0.143,1.019
2020-07-29 9:7:30.0140,0.303,0.962,-0.143,1.019
2020-07-29 9:7:30.0140,0.303,0.962,-0.143,1.019
2020-07-29 9:7:30.0200,0.319,0.954,-0.16,1.019
2020-07-29 9:7:30.0300,0.289,0.949,-0.156,1.004
2020-07-29 9:7:30.0400,0.289,0.942,-0.154,0.997
2020-07-29 9:7:30.0510,0.294,0.947,-0.152,1.003
2020-07-29 9:7:30.0610,0.288,0.951,-0.151,1.005
2020-07-29 9:7:30.0700,0.291,0.958,-0.14,1.011
2020-07-29 9:7:30.1130,0.295,0.953,-0.143,1.008
2020-07-29 9:7:30.1140,0.295,0.953,-0.143,1.008
2020-07-29 9:7:30.1140,0.295,0.953,-0.143,1.008
2020-07-29 9:7:30.1140,0.295,0.953,-0.143,1.008
2020-07-29 9:7:30.1200,0.297,0.952,-0.145,1.008
2020-07-29 9:7:30.1300,0.297,0.957,-0.14,1.012
2020-07-29 9:7:30.1400,0.297,0.961,-0.137,1.015
2020-07-29 9:7:30.1500,0.29,0.962,-0.134,1.014
2020-07-29 9:7:30.1600,0.292,0.965,-0.134,1.017
2020-07-29 9:7:30.1700,0.3,0.968,-0.129,1.022
2020-07-29 9:7:30.2100,0.316,0.989,-0.109,1.044
2020-07-29 9:7:30.2110,0.316,0.989,-0.109,1.044
2020-07-29 9:7:30.2110,0.316,0.989,-0.109,1.044
2020-07-29 9:7:30.2110,0.316,0.989,-0.109,1.044
2020-07-29 9:7:30.2200,0.342,0.994,-0.126,1.059
2020-07-29 9:7:30.2300,0.305,1.042,-0.074,1.088
2020-07-29 9:7:30.2400,0.261,1.132,-0.001,1.162
2020-07-29 9:7:30.2500,0.187,1.188,0.139,1.211
2020-07-29 9:7:30.2600,0.216,1.403,0.241,1.44
2020-07-29 9:7:30.2700,0.292,1.525,0.332,1.588
2020-07-29 9:7:30.3100,0.575,2.07,0.347,2.176
2020-07-29 9:7:30.3110,0.575,2.07,0.347,2.176
2020-07-29 9:7:30.3110,0.575,2.07,0.347,2.176
2020-07-29 9:7:30.3110,0.575,2.07,0.347,2.176
2020-07-29 9:7:30.3200,0.551,1.789,0.378,1.91
2020-07-29 9:7:30.3300,0.501,1.794,0.286,1.884
2020-07-29 9:7:30.3400,0.285,1.718,0.282,1.764
2020-07-29 9:7:30.3500,0.07,1.428,0.306,1.462
2020-07-29 9:7:30.3600,0.129,1.281,0.232,1.308
2020-07-29 9:7:30.3700,0.256,1.425,-0.032,1.448
2020-07-29 9:7:30.4140,-0.008,0.696,0.52,0.869
2020-07-29 9:7:30.4140,-0.008,0.696,0.52,0.869
2020-07-29 9:7:30.4150,-0.008,0.696,0.52,0.869
2020-07-29 9:7:30.4150,-0.008,0.696,0.52,0.869
2020-07-29 9:7:30.4200,0.364,0.971,0.458,1.134
2020-07-29 9:7:30.4290,0.584,0.936,0.373,1.165
2020-07-29 9:7:30.4390,0.716,0.662,0.385,1.048
2020-07-29 9:7:30.4490,0.798,0.346,0.417,0.965
2020-07-29 9:7:30.4590,0.921,0.077,0.448,1.027
2020-07-29 9:7:30.4690,1.08,-0.006,0.408,1.155
2020-07-29 9:7:30.5070,1.436,0.211,0.028,1.452
2020-07-29 9:7:30.5070,1.436,0.211,0.028,1.452
2020-07-29 9:7:30.5070,1.436,0.211,0.028,1.452
2020-07-29 9:7:30.5090,1.418,0.188,-0.012,1.43
2020-07-29 9:7:30.5190,1.32,0.104,0.031,1.324
2020-07-29 9:7:30.5290,1.197,0.085,0.093,1.204
2020-07-29 9:7:30.5390,1.091,0.191,0.147,1.117
2020-07-29 9:7:30.5490,0.994,0.326,0.188,1.063
2020-07-29 9:7:30.5590,0.898,0.406,0.177,1.001
2020-07-29 9:7:30.5690,0.782,0.495,0.155,0.938
2020-07-29 9:7:30.6110,0.184,1.155,-0.125,1.176
2020-07-29 9:7:30.6120,0.184,1.155,-0.125,1.176
2020-07-29 9:7:30.6120,0.184,1.155,-0.125,1.176
2020-07-29 9:7:30.6120,0.184,1.155,-0.125,1.176
2020-07-29 9:7:30.6190,0.004,1.281,-0.23,1.301
2020-07-29 9:7:30.6290,-0.182,1.433,-0.343,1.485
2020-07-29 9:7:30.6390,-0.358,1.58,-0.463,1.685
2020-07-29 9:7:30.6490,-0.558,1.713,-0.56,1.887
2020-07-29 9:7:30.6590,-0.794,1.818,-0.581,2.067
2020-07-29 9:7:30.6690,-0.993,1.841,-0.541,2.161
2020-07-29 9:7:30.7140,-1.579,2.758,-0.324,3.194
2020-07-29 9:7:30.7140,-1.579,2.758,-0.324,3.194
2020-07-29 9:7:30.7140,-1.579,2.758,-0.324,3.194
2020-07-29 9:7:30.7140,-1.579,2.758,-0.324,3.194
2020-07-29 9:7:30.7180,-1.786,1.627,0.321,2.437
2020-07-29 9:7:30.7280,-1.382,-0.108,0.115,1.391
2020-07-29 9:7:30.7380,-1.214,1.797,0.644,2.262
2020-07-29 9:7:30.7490,-0.98,1.549,1.04,2.107
2020-07-29 9:7:30.7580,-1.146,1.258,1.19,2.077
2020-07-29 9:7:30.7680,-0.448,0.734,0.775,1.158
2020-07-29 9:7:30.8100,0.546,0.857,-0.492,1.129
2020-07-29 9:7:30.8110,0.546,0.857,-0.492,1.129
2020-07-29 9:7:30.8110,0.546,0.857,-0.492,1.129
2020-07-29 9:7:30.8110,0.546,0.857,-0.492,1.129
2020-07-29 9:7:30.8180,0.22,0.637,-0.792,1.04
2020-07-29 9:7:30.8280,0.008,0.783,-0.947,1.229
2020-07-29 9:7:30.8380,0.123,0.779,-0.619,1.003
2020-07-29 9:7:30.8480,0.36,1.317,0.125,1.371
2020-07-29 9:7:30.8580,0.474,1.395,0.463,1.544
2020-07-29 9:7:30.8680,0.19,1.037,0.265,1.087
2020-07-29 9:7:30.9110,0.246,1.001,0.001,1.031
2020-07-29 9:7:30.9110,0.246,1.001,0.001,1.031
2020-07-29 9:7:30.9120,0.246,1.001,0.001,1.031
2020-07-29 9:7:30.9120,0.246,1.001,0.001,1.031
2020-07-29 9:7:30.9180,0.236,0.966,0.045,0.995
2020-07-29 9:7:30.9280,0.229,0.954,-0.01,0.981
2020-07-29 9:7:30.9380,0.229,0.957,0.001,0.984
2020-07-29 9:7:30.9480,0.26,0.972,0.04,1.007
2020-07-29 9:7:30.9580,0.239,0.969,0.031,0.999
2020-07-29 9:7:30.9680,0.239,1.042,0.038,1.07
2020-07-29 9:7:31.0070,0.281,1.021,0.117,1.065
2020-07-29 9:7:31.0080,0.281,1.021,0.117,1.065
2020-07-29 9:7:31.0080,0.281,1.021,0.117,1.065
2020-07-29 9:7:31.0090,0.281,1.021,0.117,1.065
2020-07-29 9:7:31.0180,0.253,1.009,0.049,1.041
2020-07-29 9:7:31.0280,0.281,0.979,-0.008,1.019
2020-07-29 9:7:31.0370,0.258,0.984,0.007,1.017
2020-07-29 9:7:31.0480,0.256,0.986,0.027,1.019
2020-07-29 9:7:31.0570,0.262,0.993,0.042,1.028
2020-07-29 9:7:31.0670,0.277,1.01,0.024,1.048
2020-07-29 9:7:31.1130,0.272,1.018,0.039,1.054
2020-07-29 9:7:31.1130,0.272,1.018,0.039,1.054
2020-07-29 9:7:31.1140,0.272,1.018,0.039,1.054
2020-07-29 9:7:31.1140,0.272,1.018,0.039,1.054
2020-07-29 9:7:31.1170,0.249,1.006,0.046,1.037
2020-07-29 9:7:31.1270,0.252,1.026,0.082,1.06
2020-07-29 9:7:31.1370,0.268,1.073,0.111,1.112
2020-07-29 9:7:31.1480,0.257,1.081,0.135,1.119
2020-07-29 9:7:31.1570,0.251,1.076,0.109,1.11
2020-07-29 9:7:31.1670,0.238,1.014,0.075,1.044
2020-07-29 9:7:31.2120,0.244,1.056,0.052,1.085
2020-07-29 9:7:31.2130,0.244,1.056,0.052,1.085
2020-07-29 9:7:31.2130,0.244,1.056,0.052,1.085
2020-07-29 9:7:31.2130,0.244,1.056,0.052,1.085
2020-07-29 9:7:31.2170,0.205,1.059,0.084,1.082
2020-07-29 9:7:31.2270,0.218,1.094,0.04,1.116
2020-07-29 9:7:31.2370,0.217,1.056,0.021,1.078
2020-07-29 9:7:31.2470,0.215,1.084,0.023,1.105
2020-07-29 9:7:31.2570,0.167,1.07,0.013,1.083
2020-07-29 9:7:31.2670,0.161,1.1,0.064,1.114
2020-07-29 9:7:31.3070,0.225,1.225,0.104,1.25
2020-07-29 9:7:31.3070,0.225,1.225,0.104,1.25
2020-07-29 9:7:31.3080,0.225,1.225,0.104,1.25
2020-07-29 9:7:31.3080,0.225,1.225,0.104,1.25
2020-07-29 9:7:31.3170,0.218,1.247,0.059,1.267
2020-07-29 9:7:31.3270,0.22,1.27,0.011,1.289
2020-07-29 9:7:31.3370,0.235,1.305,0.056,1.327
2020-07-29 9:7:31.3470,0.264,1.367,0.099,1.396
2020-07-29 9:7:31.3570,0.25,1.376,0.129,1.404
2020-07-29 9:7:31.3670,0.331,1.595,0.12,1.633
2020-07-29 9:7:31.4110,0.494,2.163,0.774,2.35
2020-07-29 9:7:31.4120,0.494,2.163,0.774,2.35
2020-07-29 9:7:31.4120,0.494,2.163,0.774,2.35
2020-07-29 9:7:31.4120,0.494,2.163,0.774,2.35
2020-07-29 9:7:31.4160,0.424,2.086,0.559,2.201
2020-07-29 9:7:31.4260,0.266,2.269,0.247,2.298
2020-07-29 9:7:31.4360,0.109,2.339,-0.005,2.342
2020-07-29 9:7:31.4470,-0.148,2.623,0.099,2.629
2020-07-29 9:7:31.4560,-0.173,2.798,0.286,2.818
2020-07-29 9:7:31.4660,0.022,2.042,0.513,2.106
2020-07-29 9:7:31.5060,0.2,1.069,0.652,1.268
2020-07-29 9:7:31.5060,0.316,0.985,0.695,1.246
2020-07-29 9:7:31.5060,0.316,0.985,0.695,1.246
2020-07-29 9:7:31.5080,0.316,0.985,0.695,1.246
2020-07-29 9:7:31.5160,0.526,1.216,0.53,1.427
2020-07-29 9:7:31.5260,0.635,1.191,0.424,1.415
2020-07-29 9:7:31.5360,0.692,1.19,0.36,1.423
2020-07-29 9:7:31.5460,0.662,1.053,0.281,1.275
2020-07-29 9:7:31.5560,0.571,0.779,0.215,0.989
2020-07-29 9:7:31.5660,0.489,0.571,0.213,0.781
2020-07-29 9:7:31.6070,0.484,0.601,0.16,0.788
2020-07-29 9:7:31.6070,0.484,0.601,0.16,0.788
2020-07-29 9:7:31.6070,0.484,0.601,0.16,0.788
2020-07-29 9:7:31.6080,0.484,0.601,0.16,0.788
2020-07-29 9:7:31.6160,0.509,0.638,0.108,0.823
2020-07-29 9:7:31.6260,0.507,0.621,0.076,0.805
2020-07-29 9:7:31.6360,0.456,0.57,0.088,0.735
2020-07-29 9:7:31.6460,0.394,0.529,0.115,0.67
2020-07-29 9:7:31.6560,0.352,0.523,0.159,0.65
2020-07-29 9:7:31.6660,0.307,0.537,0.183,0.645
2020-07-29 9:7:31.7020,0.216,0.579,0.291,0.683
2020-07-29 9:7:31.7030,0.216,0.579,0.291,0.683
2020-07-29 9:7:31.7030,0.216,0.579,0.291,0.683
2020-07-29 9:7:31.7060,0.171,0.594,0.329,0.7
2020-07-29 9:7:31.7160,0.138,0.625,0.328,0.719
2020-07-29 9:7:31.7250,0.098,0.665,0.307,0.739
2020-07-29 9:7:31.7360,0.032,0.702,0.297,0.763
2020-07-29 9:7:31.7460,-0.076,0.765,0.272,0.815
2020-07-29 9:7:31.7560,-0.2,0.855,0.211,0.903
2020-07-29 9:7:31.7660,-0.337,0.948,0.142,1.016
2020-07-29 9:7:31.8070,-1.104,1.363,-0.007,1.754
2020-07-29 9:7:31.8080,-1.104,1.363,-0.007,1.754
2020-07-29 9:7:31.8080,-1.104,1.363,-0.007,1.754
2020-07-29 9:7:31.8080,-1.104,1.363,-0.007,1.754
2020-07-29 9:7:31.8150,-1.297,1.465,-0.045,1.957
2020-07-29 9:7:31.8250,-1.419,1.546,-0.115,2.102
2020-07-29 9:7:31.8350,-1.49,1.62,-0.23,2.213
2020-07-29 9:7:31.8450,-1.559,1.662,-0.324,2.302
2020-07-29 9:7:31.8560,-1.653,1.608,-0.413,2.343
2020-07-29 9:7:31.8650,-1.7,1.529,-0.49,2.338
2020-07-29 9:7:31.9060,-1.712,1.626,-0.438,2.401
2020-07-29 9:7:31.9070,-1.712,1.626,-0.438,2.401
2020-07-29 9:7:31.9070,-1.712,1.626,-0.438,2.401
2020-07-29 9:7:31.9070,-1.712,1.626,-0.438,2.401
2020-07-29 9:7:31.9150,-1.645,1.41,-0.33,2.192
2020-07-29 9:7:31.9250,-1.513,1.184,-0.197,1.931
2020-07-29 9:7:31.9350,-1.34,1.188,-0.024,1.791
2020-07-29 9:7:31.9460,-0.845,2.858,0.361,3.002
2020-07-29 9:7:31.9550,-0.036,1.356,0.688,1.521
2020-07-29 9:7:31.9650,-1.996,1.828,0.078,2.708
2020-07-29 9:7:32.0060,1.256,0.72,-0.152,1.456
2020-07-29 9:7:32.0060,1.256,0.72,-0.152,1.456
2020-07-29 9:7:32.0060,1.256,0.72,-0.152,1.456
2020-07-29 9:7:32.0060,1.256,0.72,-0.152,1.456
2020-07-29 9:7:32.0150,-0.01,0.951,-0.148,0.962
2020-07-29 9:7:32.0250,-0.805,0.987,0.027,1.274
2020-07-29 9:7:32.0350,-0.068,0.904,0.153,0.919
2020-07-29 9:7:32.0450,0.421,0.935,0.253,1.056
2020-07-29 9:7:32.0550,0.042,1.024,0.003,1.025
2020-07-29 9:7:32.0650,-0.089,0.972,-0.039,0.977
2020-07-29 9:7:32.1090,0.108,1.024,0.158,1.042
2020-07-29 9:7:32.1100,0.108,1.024,0.158,1.042
2020-07-29 9:7:32.1100,0.108,1.024,0.158,1.042
2020-07-29 9:7:32.1100,0.108,1.024,0.158,1.042
2020-07-29 9:7:32.1140,0.132,1.013,0.184,1.038
2020-07-29 9:7:32.1240,0.09,0.951,0.215,0.979
2020-07-29 9:7:32.1340,0.1,1.075,0.29,1.118
2020-07-29 9:7:32.1450,0.039,0.986,0.28,1.026
2020-07-29 9:7:32.1540,0.064,1.031,0.272,1.068
2020-07-29 9:7:32.1640,0.089,0.981,0.208,1.007
2020-07-29 9:7:32.2020,0.074,0.987,0.177,1.005
2020-07-29 9:7:32.2030,0.074,0.987,0.177,1.005
2020-07-29 9:7:32.2030,0.074,0.987,0.177,1.005
2020-07-29 9:7:32.2040,0.132,1.026,0.158,1.046
2020-07-29 9:7:32.2140,0.136,0.994,0.171,1.018
2020-07-29 9:7:32.2240,0.158,1.001,0.175,1.028
2020-07-29 9:7:32.2340,0.099,0.995,0.15,1.011
2020-07-29 9:7:32.2440,0.121,0.986,0.141,1.003
2020-07-29 9:7:32.2540,0.126,0.994,0.137,1.011
2020-07-29 9:7:32.2640,0.12,0.988,0.134,1.004
2020-07-29 9:7:32.3040,0.111,0.984,0.134,0.999
2020-07-29 9:7:32.3040,0.111,0.984,0.134,0.999
2020-07-29 9:7:32.3040,0.111,0.984,0.134,0.999
2020-07-29 9:7:32.3060,0.111,0.984,0.134,0.999
2020-07-29 9:7:32.3140,0.128,0.989,0.129,1.006
